Table,Field,Type,Key,Nullable,Default,Comment,References
Users,id,Integer,PK,FALSE,,"Integer identifier; primary key for each user record.",
Users,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external user reference.",
Users,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; when the user row was created.",
Users,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; when the user row was last modified.",
Users,disabled_at,DateTime(tz),,TRUE,,"Optional timestamp; when the account was disabled.",
Users,username,CITEXT,UQ,FALSE,,"Case-insensitive text; operator-chosen login name.",
Users,email,CITEXT,UQ,TRUE,,"Case-insensitive text; contact email for notifications.",
Users,roles,JSONB,,FALSE,[],"JSON array; access roles assigned to the user.",
Users,jwt_auth_active,Boolean,,FALSE,True,"Boolean flag; whether JWT authentication is enabled.",
Users,last_login_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; last successful login.",
Users,date_joined,DateTime(tz),,FALSE,datetime.now(timezone.utc),"Timezone-aware timestamp; when the user registered.",
CompliancePolicies,id,Integer,PK,FALSE,,"Integer identifier; primary key for compliance policy.",
CompliancePolicies,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external reference for the policy.",
CompliancePolicies,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; policy creation time.",
CompliancePolicies,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last policy update.",
CompliancePolicies,disabled_at,DateTime(tz),,TRUE,,"Optional timestamp; marks policy as disabled for enforcement.",
CompliancePolicies,name,CITEXT,UQ,FALSE,,"Case-insensitive text; human-readable policy name.",
CompliancePolicies,description,Text,,TRUE,,"Long text; administrator description of the policy.",
CompliancePolicies,scope,JSONB,,FALSE,{},"JSON object; devices/groups the policy targets.",
CompliancePolicies,rules,JSONB,,FALSE,{},"JSON object; serialized policy rule set.",
ComplianceRules,id,Integer,PK,FALSE,,"Integer identifier; primary key for compliance rule.",
ComplianceRules,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external reference for the rule.",
ComplianceRules,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; rule creation time.",
ComplianceRules,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last rule update.",
ComplianceRules,policy_id,Integer,FK,FALSE,,"Integer foreign key; parent compliance policy.",CompliancePolicies.id
ComplianceRules,name,String,,FALSE,,"Short text; rule display name.",
ComplianceRules,description,Text,,TRUE,,"Long text; explains the compliance check.",
ComplianceRules,rule_type,String(100),,FALSE,,"Short text; classification of the rule logic.",
ComplianceRules,severity,String(50),,FALSE,unknown,"Short text; admin-prioritized severity label.",
ComplianceRules,expression,Text,,FALSE,,"Long text; executable rule expression.",
ComplianceRules,params,JSONB,,FALSE,{},"JSON object; parameterization for evaluating the rule.",
ComplianceResults,id,Integer,PK,FALSE,,"Integer identifier; primary key for compliance evaluation result.",
ComplianceResults,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; row creation time.",
ComplianceResults,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last update time.",
ComplianceResults,device_id,Integer,FK,FALSE,,"Integer foreign key; device evaluated by the policy.",Devices.id
ComplianceResults,policy_id,Integer,FK,FALSE,,"Integer foreign key; compliance policy tested.",CompliancePolicies.id
ComplianceResults,rule_id,Integer,FK,TRUE,,"Integer foreign key; specific rule evaluated when available.",ComplianceRules.id
ComplianceResults,is_compliant,Boolean,,FALSE,,"Boolean flag; whether the device passed the check.",
ComplianceResults,checked_at,DateTime(tz),,FALSE,datetime.now(timezone.utc),"Timezone-aware timestamp; when evaluation executed.",
ComplianceResults,status,String(32),,FALSE,unknown,"Short text; summarized result status.",
ComplianceResults,summary,Text,,TRUE,,"Long text; operator-facing summary of the evaluation.",
ComplianceResults,details,JSONB,,FALSE,{},"JSON object; structured evidence from the evaluation.",
ComplianceResults,snapshot_id,Integer,FK,TRUE,,"Integer foreign key; configuration snapshot referenced for context.",DeviceConfigSnapshots.id
Manufacturers,id,Integer,PK,FALSE,,"Integer identifier; primary key for manufacturer.",
Manufacturers,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external reference for manufacturer.",
Manufacturers,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; manufacturer record creation.",
Manufacturers,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last manufacturer update.",
